9,15,24,27,44,45
12,20,39,44,47,49
13,20,38,39,41,45
18,21,22,34,42,43
8,14,24,29,36,43
3,4,17,30,35,47
11,13,15,19,21,29
7,13,15,35,38,45
18,28,30,33,34,36
1,5,29,32,39,44
8,20,30,34,42,48
5,9,22,26,27,40
7,8,12,14,23,32
2,12,33,40,45,47
8,18,20,25,30,39
1,2,6,37,40,43
1,2,10,23,32,49
8,13,15,35,44,45
4,8,15,18,30,45
6,9,11,29,43,47
2,5,7,18,30,45
6,8,11,32,34,41
2,11,12,22,24,25
3,5,20,30,33,38
1,8,33,37,42,47
12,18,20,28,33,47
11,28,36,38,44,48
6,11,16,20,43,45
18,20,24,36,44,45
18,22,40,41,48,49
16,18,27,35,42,44
9,24,29,32,34,47
9,10,25,40,48,49
6,16,19,34,35,46
4,11,14,41,42,44
8,9,10,22,33,40
15,21,24,25,28,31
10,17,25,26,39,44
17,21,22,36,41,44
9,20,30,33,38,39
13,15,25,40,41,48
12,13,31,33,35,47
13,15,24,28,41,45
10,20,24,28,33,45
4,14,28,42,43,47
6,16,27,34,44,48
5,10,11,25,27,44
7,12,13,25,34,38
4,10,28,37,42,48
4,5,6,22,31,46
20,22,31,33,39,44
18,27,28,34,35,45
1,14,16,25,40,48
7,11,15,38,39,46
2,12,19,33,34,48
17,18,26,30,33,34
1,4,22,30,33,34
4,21,22,35,36,46
8,17,28,34,39,40
2,7,9,22,32,46
8,10,16,30,39,40
9,10,23,28,37,46
6,15,16,18,37,43
4,10,15,16,24,28
2,11,12,25,36,43
1,4,9,17,35,41
3,5,17,22,25,27
5,13,21,25,38,40
1,11,13,23,35,36
1,4,13,22,32,41
15,16,20,26,36,40
12,16,34,36,42,45
5,6,8,10,31,36
9,22,28,32,37,39
9,13,29,30,39,45
3,15,16,39,41,42
2,26,31,32,36,37
4,5,18,23,32,44
7,17,34,41,43,49
2,6,13,25,30,33
1,4,8,21,22,24
22,26,27,28,36,47
10,12,19,25,42,46
22,23,35,40,41,42
5,9,13,15,21,23
14,20,28,31,32,47
4,5,11,17,24,48
12,25,32,33,34,35
4,11,15,26,28,30
10,33,40,43,45,49
4,14,15,19,41,42
13,20,23,24,46,47
16,18,22,23,35,38
7,8,10,13,20,38
2,5,17,22,27,28
9,19,28,29,38,40
9,24,32,34,43,47
4,11,23,32,44,48
12,14,21,27,38,43
8,9,18,33,41,43
1,5,26,28,40,49
3,10,26,33,42,46
12,16,31,34,42,48
4,11,12,24,35,46
13,16,24,26,40,44
10,12,24,25,26,33
10,13,35,38,42,44
7,12,16,17,20,25
9,11,14,22,27,49
18,24,28,31,39,49
11,12,15,21,38,42
9,16,28,36,42,45
2,7,20,23,44,47
7,10,15,37,42,45
5,10,13,43,44,45
16,18,19,36,42,47
21,27,28,33,37,48
21,32,36,37,44,46
5,17,22,34,38,48
3,7,15,25,26,47
2,13,15,38,39,44
3,7,14,21,25,29
11,13,41,42,43,49
7,10,12,16,26,49
6,8,30,34,36,42
1,8,28,31,36,45
12,19,21,24,36,49
3,4,7,8,26,36
3,13,20,24,43,48
12,17,29,31,41,47
1,3,5,20,35,39
30,31,35,40,42,48
6,17,18,19,20,42
10,11,31,34,37,38
21,24,26,42,43,46
9,12,26,29,44,45
4,12,20,37,42,47
2,5,10,27,36,46
6,11,16,29,30,37
2,6,9,16,39,49
2,5,13,37,42,44
7,26,30,33,34,38
12,15,17,30,31,43
1,5,11,23,34,47
4,21,25,29,32,37
14,17,23,24,25,37
1,18,22,27,45,48
6,8,12,16,32,49
2,6,10,20,38,40
13,17,25,27,46,49
6,9,23,25,41,43
10,12,20,22,25,33
17,18,28,32,33,48
15,20,28,29,42,46
14,22,28,33,44,46
2,10,12,21,25,35
7,9,10,14,22,31
2,17,23,30,34,41
5,7,17,18,27,48
13,16,17,18,22,45
11,34,36,43,47,49
5,7,14,17,46,47
6,15,25,29,32,46
4,5,10,13,28,35
17,18,20,26,31,32
8,16,21,30,42,46
5,7,9,13,15,29
14,15,16,25,27,30
1,2,14,37,43,49
16,21,27,37,40,43
10,21,24,33,40,47
8,18,19,28,37,44
3,14,16,18,38,49
8,15,31,35,42,44
10,19,25,32,33,37
1,25,30,33,39,40
14,15,28,31,32,48
12,19,24,43,46,47
1,4,12,14,35,47
2,25,30,36,37,43
6,8,10,21,25,29
1,7,14,31,34,42
12,14,17,20,40,48
1,7,13,32,35,39
3,4,13,29,31,41
17,18,21,25,40,48
1,8,20,27,33,36
1,4,13,27,47,49
7,26,29,32,33,37
2,20,22,30,40,45
6,35,41,42,44,47
2,12,17,27,32,33
8,16,19,33,35,46
2,6,17,24,37,49
7,15,32,33,34,43
21,36,41,42,46,49
3,5,9,19,48,49
7,8,15,32,34,39
4,10,12,14,29,48
16,23,29,30,37,38
14,17,34,37,43,48
15,23,26,38,46,47
2,20,40,42,47,48
18,24,25,30,31,35
2,17,37,40,45,49
3,17,24,30,31,44
3,4,15,16,23,45
3,18,21,41,44,45
1,30,32,35,37,44
4,8,13,19,44,48
10,11,25,33,40,46
3,13,19,20,36,39
2,10,28,32,37,47
4,14,19,24,26,48
3,10,16,30,34,44
2,4,14,30,39,41
9,17,28,31,35,37
10,16,33,34,44,47
9,12,21,27,37,45
9,12,16,24,34,35
9,20,22,32,35,41
11,16,26,38,45,49
2,10,12,30,37,39
10,23,33,36,39,44
2,6,13,16,30,36
1,14,28,29,37,43
2,8,15,26,37,45
9,12,22,27,36,47
1,17,28,32,39,40
1,3,12,29,36,41
20,21,32,35,46,47
12,14,17,23,24,45
6,14,16,28,41,45
6,18,20,28,43,45
4,18,21,31,42,49
11,24,31,45,46,47
10,19,38,39,44,45
4,9,25,26,27,28
22,33,36,43,48,49
2,10,12,18,24,33
7,23,35,42,45,49
22,28,35,36,44,45
11,20,21,26,34,49
1,9,18,25,37,48
2,17,23,35,42,48
2,15,21,24,29,46
7,10,17,19,20,22
4,6,15,28,30,33
2,3,16,17,24,32
6,10,20,27,39,46
9,10,11,20,26,44
3,19,29,36,47,49
16,26,30,37,43,47
1,13,39,40,41,43
11,14,28,29,37,41
6,9,17,18,29,34
12,19,22,36,40,47
4,9,34,39,48,49
1,5,8,17,20,37
26,29,34,35,37,47
2,12,14,23,40,46
12,13,26,33,42,49
5,14,22,24,27,45
4,10,24,29,33,35
10,16,20,39,45,46
6,10,12,26,28,35
3,19,42,44,48,49
12,13,20,28,41,43
3,16,32,38,40,48
6,16,20,25,27,45
4,15,17,22,34,43
3,12,40,43,48,49
7,25,27,36,39,42
11,14,34,36,43,46
26,28,37,43,45,47
15,18,24,27,39,49
11,17,24,27,31,38
25,29,32,33,37,44
4,12,14,24,32,38
10,14,26,29,30,31
2,5,27,32,42,46
23,26,27,37,42,46
4,8,14,23,48,49
7,9,27,31,36,39
1,9,15,31,33,41
5,14,31,32,36,46
5,7,8,18,24,29
3,22,23,26,42,48
12,22,27,35,44,48
11,13,15,31,37,47
1,4,15,17,36,42
4,5,21,31,36,38
1,3,14,16,24,41
1,9,30,40,41,48
1,20,28,30,42,43
2,5,9,32,41,42
3,11,13,23,40,49
1,2,9,17,22,25
4,16,22,27,38,39
10,14,32,36,37,38
3,13,16,19,27,33
11,16,19,21,38,46
5,9,15,24,28,35
8,26,39,40,41,43
2,23,24,29,33,35
3,5,24,26,31,40
15,21,23,25,34,45
2,14,30,32,36,45
19,23,25,40,46,49
7,10,24,25,27,29
20,21,35,37,47,48
26,27,32,33,37,45
11,13,15,39,48,49
2,3,4,16,26,36
4,20,27,30,31,37
5,20,37,38,43,48
4,5,18,21,27,31
8,20,23,34,37,49
3,17,18,26,28,44
9,15,16,17,18,37
9,11,27,31,33,34
3,16,36,39,42,44
4,15,16,28,39,45
9,16,30,31,38,41
6,16,31,32,44,49
1,36,38,43,46,49
7,9,12,40,42,44
4,9,20,32,42,43
4,21,25,45,47,49
12,13,18,41,43,49
4,14,31,39,43,47
1,8,15,19,20,33
6,14,15,38,46,49
10,19,24,28,31,34
1,8,17,30,36,46
5,18,24,26,41,44
1,16,17,19,26,46
1,17,24,29,39,40
2,15,19,34,42,45
3,6,21,33,34,43
9,10,12,31,34,44
3,18,20,21,30,41
3,6,8,23,25,49
12,27,35,44,47,49
1,8,17,32,39,43
3,8,10,25,29,34
18,19,21,28,47,49
13,31,32,35,39,42
4,9,14,26,30,42
4,22,25,37,38,42
8,18,19,29,31,34
2,9,29,43,46,47
1,20,22,25,34,47
6,15,30,38,47,48
9,10,22,24,43,44
5,9,34,36,41,49
1,10,31,41,44,47
1,11,24,35,44,45
4,20,27,33,41,46
24,28,35,37,42,48
8,9,11,16,17,38
1,3,6,7,15,27
4,6,9,29,31,36
14,17,26,32,35,41
1,11,29,40,43,44
33,39,40,43,48,49
3,6,7,9,11,28
13,25,26,29,30,39
22,25,35,36,39,47
3,15,18,26,45,49
17,22,31,39,45,47
6,21,29,39,40,47
1,14,26,28,31,48
8,12,19,39,48,49
7,10,17,18,28,30
1,7,22,28,29,49
21,25,26,33,35,39
3,6,17,18,42,43
24,25,28,35,38,47
9,14,29,30,32,36
3,6,10,14,15,20
1,16,25,33,41,49
13,14,15,31,46,48
9,14,30,31,32,49
10,16,22,26,31,42
1,6,31,41,42,49
3,10,20,30,41,44
13,15,23,25,26,29
4,11,15,19,32,44
5,6,12,23,38,39
6,8,10,19,20,22
8,12,31,33,42,44
1,3,7,22,28,36
20,23,27,32,34,49
6,8,17,22,28,32
3,17,20,26,33,47
14,18,28,32,36,46
3,18,19,20,37,47
7,14,18,23,32,46
14,26,28,38,39,45
1,4,15,38,40,46
6,9,27,29,43,47
7,19,28,33,43,45
1,3,4,26,34,37
16,34,37,42,47,48
17,20,29,35,38,40
23,25,34,40,42,46
11,14,16,29,31,46
9,22,23,31,45,47
9,14,27,29,42,45
3,11,26,32,35,43
1,14,21,35,39,40
15,18,22,24,42,44
10,16,20,28,32,48
9,17,26,36,40,48
1,23,27,36,45,49
15,17,22,27,36,46
1,4,5,6,9,25
3,8,10,25,26,40
12,24,27,45,47,49
11,12,16,18,23,31
4,14,24,30,43,48
7,18,27,32,42,48
2,11,16,19,44,47
1,6,11,16,20,25
12,14,15,16,22,34
5,9,14,24,29,37
1,10,29,40,44,49
1,5,28,31,44,46
4,18,24,30,31,49
4,7,16,23,26,28
14,15,17,22,38,48
7,20,23,29,35,41
9,10,15,33,40,49
4,5,14,17,22,39
11,15,21,27,38,43
8,16,29,40,46,47
11,18,20,24,29,49
2,3,25,28,35,43
10,12,16,29,41,48
2,7,11,15,17,27
2,4,9,31,33,46
4,6,19,25,34,43
12,17,31,38,44,45
10,15,26,35,40,44
6,9,17,25,33,42
1,4,13,22,39,42
3,12,15,28,29,34
6,9,31,41,45,47
3,4,15,16,17,46
9,26,28,35,45,47
